mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
34	34	150	150	1.5	3/8	3/8	9/8	2	1	ii	Db	I		ii	ii							m	0	0	2, -1, 3		2	2
34	34	303/2	303/2	1.5	3/4	3/4	9/8	2	1	V+	Db	I		V+	V	+						+	0	0	1, 5, 9		1	1
35	35	153	153	1.5	0	0	9/8	2	1	I|IAC}{	Db	I		I	I					IAC	}{	M	0	0	0, 4, 1		0	0
35	35	309/2	309/2	1.5	3/8	3/8	9/8	2	1	iii	Db	I		iii	iii							m	0	0	4, 1, 5		4	4
35	35	156	156	1.5	3/4	3/4	9/8	2	1	bIII6	Db	I		bIII6	bIII		6					M	0	0	1, -2, -3		-3	1
36	36	315/2	315/2	1.5	0	0	9/8	2	1	I	Db	I		I	I							M	0	0	0, 4, 1		0	0
36	36	159	159	1.5	3/8	3/8	9/8	2	1	iii	Db	I		iii	iii							m	0	0	4, 1, 5		4	4
36	36	321/2	321/2	1.5	3/4	3/4	9/8	2	1	#II.I6	Db	#II		I6	I		6					M	0	0	4, 1, 0		0	4
37	37	162	162	1.5	0	0	9/8	2	1	vi2	Db	#II		vi2	vi		2					mm7	0	0	1, 3, 0, 4		3	1
37	37	327/2	327/2	1.5	3/8	3/8	9/8	2	1	vi7	Db	#II		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
37	37	165	165	1.5	3/4	3/4	9/8	2	1	vi65	Db	#II		vi65	vi		65					mm7	0	0	0, 4, 1, 3		3	0
38	38	333/2	333/2	1.5	0	0	9/8	2	1	ii6(2)	Db	#II		ii6(2)	ii		6	2				m	0	0	-1, 3, 4		2	-1
38	38	168	168	1.5	3/8	3/8	9/8	2	1	ii	Db	#II		ii	ii							m	0	0	2, -1, 3		2	2
38	38	339/2	339/2	1.5	3/4	3/4	9/8	2	1	ii(#7)	Db	#II		ii(#7)	ii			#7				m	0	0	2, -1, 3	7	2	2
39	39	171	171	1.5	0	0	9/8	2	1	ii2	Db	#II		ii2	ii		2					mm7	0	0	0, 2, -1, 3		2	0
