mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
39	39	171	171	0.25	0	0	9/8	2	1	1/16		1/16	1		6	66	F#4	4	605
39	39	171	171	3.0	0	0	9/8	1	1	3/4		1/2	3/2		6	90	F#6	6	602
39	39	685/4	685/4	0.25	1/16	1/16	9/8	2	1	1/16		1/16	1		3	69	A4	4	606
39	39	343/2	343/2	0.25	1/8	1/8	9/8	2	1	1/16		1/16	1		7	73	C#5	5	607
39	39	687/4	687/4	0.25	3/16	3/16	9/8	2	1	1/16		1/16	1		6	78	F#5	5	608
39	39	172	172	0.25	1/4	1/4	9/8	2	1	1/16		1/16	1		7	85	C#6	6	609
39	39	689/4	689/4	0.25	5/16	5/16	9/8	2	1	1/16		1/16	1		3	81	A5	5	610
39	39	345/2	345/2	1.5	3/8	3/8	9/8	2	2	3/8		1/4	3/2		9	63	D#4	4	624
39	39	345/2	345/2	0.25	3/8	3/8	9/8	2	1	1/16		1/16	1		6	66	F#4	4	611
39	39	691/4	691/4	0.25	7/16	7/16	9/8	2	1	1/16		1/16	1		3	69	A4	4	612
39	39	173	173	0.25	1/2	1/2	9/8	2	1	1/16		1/16	1		7	73	C#5	5	613
39	39	693/4	693/4	0.25	9/16	9/16	9/8	2	1	1/16		1/16	1		6	78	F#5	5	614
39	39	347/2	347/2	0.25	5/8	5/8	9/8	2	1	1/16		1/16	1		7	85	C#6	6	615
39	39	695/4	695/4	0.25	11/16	11/16	9/8	2	1	1/16		1/16	1		3	81	A5	5	616
39	39	174	174	1.5	3/4	3/4	9/8	2	2	3/8		1/4	3/2		7	61	C#4	4	625
39	39	174	174	0.25	3/4	3/4	9/8	2	1	1/16		1/16	1		4	64	E4	4	617
39	39	174	174	1.0	3/4	3/4	9/8	1	1	1/4		1/4	1		3	93	A6	6	603
39	39	697/4	697/4	0.25	13/16	13/16	9/8	2	1	1/16		1/16	1		3	69	A4	4	618
39	39	349/2	349/2	0.25	7/8	7/8	9/8	2	1	1/16		1/16	1		7	73	C#5	5	619
39	39	699/4	699/4	0.25	15/16	15/16	9/8	2	1	1/16		1/16	1		4	76	E5	5	620
39	39	175	175	0.25	1	1	9/8	2	1	1/16		1/16	1		7	97	C#7	7	621
39	39	175	175	0.5	1	1	9/8	1	1	1/8		1/8	1		7	97	C#7	7	604
39	39	701/4	701/4	0.25	17/16	17/16	9/8	2	1	1/16		1/16	1		7	85	C#6	6	622
40	40	351/2	351/2	0.25	0	0	9/8	2	1	1/16		1/16	1		5	59	B3	3	629
40	40	351/2	351/2	1.5	0	0	9/8	2	2	3/8		1/4	3/2		5	59	B3	3	647
40	40	351/2	351/2	3.0	0	0	9/8	1	1	3/4		1/2	3/2		6	78	F#5	5	626
40	40	703/4	703/4	0.25	1/16	1/16	9/8	2	1	1/16		1/16	1		9	63	D#4	4	630
40	40	176	176	0.25	1/8	1/8	9/8	2	1	1/16		1/16	1		6	66	F#4	4	631
40	40	705/4	705/4	0.25	3/16	3/16	9/8	2	1	1/16		1/16	1		6	66	F#4	4	632
40	40	353/2	353/2	0.25	1/4	1/4	9/8	2	1	1/16		1/16	1		7	73	C#5	5	633
40	40	707/4	707/4	0.25	5/16	5/16	9/8	2	1	1/16		1/16	1		3	69	A4	4	634
40	40	177	177	0.25	3/8	3/8	9/8	2	1	1/16		1/16	1		3	57	A3	3	635
40	40	177	177	1.5	3/8	3/8	9/8	2	2	3/8		1/4	3/2		3	57	A3	3	648
40	40	709/4	709/4	0.25	7/16	7/16	9/8	2	1	1/16		1/16	1		7	61	C#4	4	636
40	40	355/2	355/2	0.25	1/2	1/2	9/8	2	1	1/16		1/16	1		4	64	E4	4	637
40	40	711/4	711/4	0.25	9/16	9/16	9/8	2	1	1/16		1/16	1		6	66	F#4	4	638
40	40	178	178	0.25	5/8	5/8	9/8	2	1	1/16		1/16	1		7	73	C#5	5	639
40	40	713/4	713/4	0.25	11/16	11/16	9/8	2	1	1/16		1/16	1		3	69	A4	4	640
40	40	357/2	357/2	0.25	3/4	3/4	9/8	2	1	1/16		1/16	1		8	56	G#3	3	641
40	40	357/2	357/2	1.5	3/4	3/4	9/8	2	2	3/8		1/4	3/2		8	56	G#3	3	649
40	40	357/2	357/2	1.0	3/4	3/4	9/8	1	1	1/4		1/4	1		3	81	A5	5	627
40	40	715/4	715/4	0.25	13/16	13/16	9/8	2	1	1/16		1/16	1		7	61	C#4	4	642
40	40	179	179	0.25	7/8	7/8	9/8	2	1	1/16		1/16	1		4	64	E4	4	643
40	40	717/4	717/4	0.25	15/16	15/16	9/8	2	1	1/16		1/16	1		3	69	A4	4	644
40	40	359/2	359/2	0.25	1	1	9/8	2	1	1/16		1/16	1		4	76	E5	5	645
40	40	359/2	359/2	0.5	1	1	9/8	1	1	1/8		1/8	1		7	85	C#6	6	628
40	40	719/4	719/4	0.25	17/16	17/16	9/8	2	1	1/16		1/16	1		3	81	A5	5	646
41	41	180	180	0.25	0	0	9/8	2	1	1/16		1/16	1		6	54	F#3	3	658
41	41	180	180	3.0	0	0	9/8	2	2	3/4		1/2	3/2	1	6	54	F#3	3	676
41	41	180	180	0.5	0	0	9/8	1	1	1/8		1/8	1		7	85	C#6	6	650
41	41	180	180	0.5	0	0	9/8	1	1	1/8		1/8	1		4	88	E6	6	650
41	41	721/4	721/4	0.25	1/16	1/16	9/8	2	1	1/16		1/16	1		7	61	C#4	4	659
41	41	361/2	361/2	0.25	1/8	1/8	9/8	2	1	1/16		1/16	1		4	64	E4	4	660
41	41	361/2	361/2	0.5	1/8	1/8	9/8	1	1	1/8		1/8	1		5	83	B5	5	651
41	41	361/2	361/2	0.5	1/8	1/8	9/8	1	1	1/8		1/8	1		9	87	D#6	6	651
41	41	723/4	723/4	0.25	3/16	3/16	9/8	2	1	1/16		1/16	1		6	66	F#4	4	661
41	41	181	181	0.25	1/4	1/4	9/8	2	1	1/16		1/16	1		3	69	A4	4	662
41	41	181	181	0.5	1/4	1/4	9/8	1	1	1/8		1/8	1		3	81	A5	5	652
41	41	181	181	0.5	1/4	1/4	9/8	1	1	1/8		1/8	1		7	85	C#6	6	652
41	41	725/4	725/4	0.25	5/16	5/16	9/8	2	1	1/16		1/16	1		7	73	C#5	5	663
41	41	363/2	363/2	0.25	3/8	3/8	9/8	2	1	1/16		1/16	1		4	76	E5	5	664
41	41	363/2	363/2	0.75	3/8	3/8	9/8	1	1	3/16		1/8	3/2		8	80	G#5	5	653
41	41	363/2	363/2	0.75	3/8	3/8	9/8	1	1	3/16		1/8	3/2		5	83	B5	5	653
41	41	727/4	727/4	0.25	7/16	7/16	9/8	2	1	1/16		1/16	1		6	78	F#5	5	665
41	41	182	182	0.25	1/2	1/2	9/8	2	1	1/16		1/16	1		4	76	E5	5	666
41	41	729/4	729/4	0.25	9/16	9/16	9/8	2	1	1/16		1/16	1		7	73	C#5	5	667
41	41	729/4	729/4	0.75	9/16	9/16	9/8	1	1	3/16		1/8	3/2	1	6	78	F#5	5	654
41	41	729/4	729/4	0.75	9/16	9/16	9/8	1	1	3/16		1/8	3/2	1	3	81	A5	5	654
41	41	365/2	365/2	0.25	5/8	5/8	9/8	2	1	1/16		1/16	1		3	69	A4	4	668
41	41	731/4	731/4	0.25	11/16	11/16	9/8	2	1	1/16		1/16	1		6	66	F#4	4	669
41	41	183	183	1.5	3/4	3/4	9/8	2	2	3/8		1/4	3/2	-1	6	54	F#3	3	677
41	41	183	183	0.25	3/4	3/4	9/8	2	1	1/16		1/16	1		4	64	E4	4	670
41	41	183	183	0.5	3/4	3/4	9/8	1	1	1/8		1/8	1	-1	6	78	F#5	5	655
41	41	183	183	0.5	3/4	3/4	9/8	1	1	1/8		1/8	1	-1	3	81	A5	5	655
41	41	733/4	733/4	0.25	13/16	13/16	9/8	2	1	1/16		1/16	1		6	66	F#4	4	671
41	41	367/2	367/2	0.25	7/8	7/8	9/8	2	1	1/16		1/16	1		4	64	E4	4	672
41	41	367/2	367/2	0.5	7/8	7/8	9/8	1	1	1/8		1/8	1		4	76	E5	5	656
41	41	367/2	367/2	0.5	7/8	7/8	9/8	1	1	1/8		1/8	1		8	80	G#5	5	656
41	41	735/4	735/4	0.25	15/16	15/16	9/8	2	1	1/16		1/16	1		7	61	C#4	4	673
41	41	184	184	0.25	1	1	9/8	2	1	1/16		1/16	1		3	57	A3	3	674
41	41	184	184	0.5	1	1	9/8	1	1	1/8		1/8	1		9	75	D#5	5	657
41	41	184	184	0.5	1	1	9/8	1	1	1/8		1/8	1		6	78	F#5	5	657
41	41	737/4	737/4	0.25	17/16	17/16	9/8	2	1	1/16		1/16	1		6	54	F#3	3	675
42	42	369/2	369/2	0.25	0	0	9/8	2	1	1/16		1/16	1		6	42	F#2	2	688
42	42	369/2	369/2	0.5	0	0	9/8	1	1	1/8		1/8	1		7	73	C#5	5	678
42	42	369/2	369/2	0.5	0	0	9/8	1	1	1/8		1/8	1		4	76	E5	5	678
42	42	739/4	739/4	0.25	1/16	1/16	9/8	2	1	1/16		1/16	1		7	49	C#3	3	689
42	42	185	185	0.25	1/8	1/8	9/8	2	1	1/16		1/16	1		4	52	E3	3	690
42	42	185	185	0.5	1/8	1/8	9/8	1	1	1/8		1/8	1		5	71	B4	4	679
42	42	185	185	0.5	1/8	1/8	9/8	1	1	1/8		1/8	1		9	75	D#5	5	679
42	42	741/4	741/4	0.25	3/16	3/16	9/8	2	1	1/16		1/16	1		6	54	F#3	3	691
42	42	371/2	371/2	0.25	1/4	1/4	9/8	2	1	1/16		1/16	1		3	57	A3	3	692
42	42	371/2	371/2	0.5	1/4	1/4	9/8	1	1	1/8		1/8	1		3	69	A4	4	680
42	42	371/2	371/2	0.5	1/4	1/4	9/8	1	1	1/8		1/8	1		7	73	C#5	5	680
42	42	743/4	743/4	0.25	5/16	5/16	9/8	2	1	1/16		1/16	1		7	61	C#4	4	693
42	42	186	186	0.25	3/8	3/8	9/8	2	1	1/16		1/16	1		4	64	E4	4	694
42	42	186	186	0.5	3/8	3/8	9/8	1	1	1/8		1/8	1		8	68	G#4	4	681
42	42	186	186	0.5	3/8	3/8	9/8	1	1	1/8		1/8	1		5	71	B4	4	681
42	42	745/4	745/4	0.25	7/16	7/16	9/8	2	1	1/16		1/16	1		7	61	C#4	4	695
42	42	373/2	373/2	0.25	1/2	1/2	9/8	2	1	1/16		1/16	1		3	57	A3	3	696
42	42	373/2	373/2	0.5	1/2	1/2	9/8	1	1	1/8		1/8	1		6	66	F#4	4	682
42	42	373/2	373/2	0.5	1/2	1/2	9/8	1	1	1/8		1/8	1		3	69	A4	4	682
42	42	747/4	747/4	0.25	9/16	9/16	9/8	2	1	1/16		1/16	1		6	54	F#3	3	697
42	42	187	187	0.25	5/8	5/8	9/8	2	1	1/16		1/16	1		4	52	E3	3	698
42	42	187	187	0.5	5/8	5/8	9/8	1	1	1/8		1/8	1	1	4	64	E4	4	683
42	42	187	187	0.5	5/8	5/8	9/8	1	1	1/8		1/8	1	1	8	68	G#4	4	683
42	42	749/4	749/4	0.25	11/16	11/16	9/8	2	1	1/16		1/16	1		7	49	C#3	3	699
42	42	375/2	375/2	0.25	3/4	3/4	9/8	2	1	1/16		1/16	1		6	42	F#2	2	700
42	42	375/2	375/2	1.5	3/4	3/4	9/8	1	2	3/8		1/4	3/2		3	57	A3	3	687
42	42	375/2	375/2	0.5	3/4	3/4	9/8	1	1	1/8		1/8	1	-1	4	64	E4	4	684
42	42	375/2	375/2	0.5	3/4	3/4	9/8	1	1	1/8		1/8	1	-1	8	68	G#4	4	684
42	42	751/4	751/4	0.25	13/16	13/16	9/8	2	1	1/16		1/16	1		7	49	C#3	3	701
42	42	188	188	0.25	7/8	7/8	9/8	2	1	1/16		1/16	1		6	42	F#2	2	702
42	42	188	188	0.5	7/8	7/8	9/8	1	1	1/8		1/8	1		9	63	D#4	4	685
42	42	188	188	0.5	7/8	7/8	9/8	1	1	1/8		1/8	1		6	66	F#4	4	685
42	42	753/4	753/4	0.25	15/16	15/16	9/8	2	1	1/16		1/16	1		7	49	C#3	3	703
42	42	377/2	377/2	0.25	1	1	9/8	2	1	1/16		1/16	1		6	42	F#2	2	704
42	42	377/2	377/2	0.5	1	1	9/8	1	1	1/8		1/8	1		7	61	C#4	4	686
42	42	377/2	377/2	0.5	1	1	9/8	1	1	1/8		1/8	1		4	64	E4	4	686
42	42	755/4	755/4	0.25	17/16	17/16	9/8	2	1	1/16		1/16	1		7	49	C#3	3	705
43	43	189	189	0.25	0	0	9/8	2	1	1/16		1/16	1		-4	44	Ab2	2	714
43	43	189	189	1.0	0	0	9/8	1	2	1/4		1/4	1		-6	54	Gb3	3	709
43	43	189	189	3.0	0	0	9/8	1	1	3/4		1/2	3/2		-5	61	Db4	4	706
43	43	189	189	3.0	0	0	9/8	1	1	3/4		1/2	3/2		-3	63	Eb4	4	706
43	43	757/4	757/4	0.25	1/16	1/16	9/8	2	1	1/16		1/16	1		-3	51	Eb3	3	715
43	43	379/2	379/2	0.25	1/8	1/8	9/8	2	1	1/16		1/16	1		-4	44	Ab2	2	716
43	43	759/4	759/4	0.25	3/16	3/16	9/8	2	1	1/16		1/16	1		-3	51	Eb3	3	717
43	43	190	190	0.25	1/4	1/4	9/8	2	1	1/16		1/16	1		-4	44	Ab2	2	718
43	43	190	190	0.5	1/4	1/4	9/8	1	2	1/8		1/8	1		-4	56	Ab3	3	710
43	43	761/4	761/4	0.25	5/16	5/16	9/8	2	1	1/16		1/16	1		-3	51	Eb3	3	719
43	43	381/2	381/2	0.25	3/8	3/8	9/8	2	1	1/16		1/16	1		-4	44	Ab2	2	720
43	43	381/2	381/2	1.0	3/8	3/8	9/8	1	2	1/4		1/4	1		-2	58	Bb3	3	711
43	43	763/4	763/4	0.25	7/16	7/16	9/8	2	1	1/16		1/16	1		-3	51	Eb3	3	721
43	43	191	191	0.25	1/2	1/2	9/8	2	1	1/16		1/16	1		-4	44	Ab2	2	722
43	43	765/4	765/4	0.25	9/16	9/16	9/8	2	1	1/16		1/16	1		-3	51	Eb3	3	723
43	43	383/2	383/2	0.25	5/8	5/8	9/8	2	1	1/16		1/16	1		-4	44	Ab2	2	724
43	43	383/2	383/2	0.5	5/8	5/8	9/8	1	2	1/8		1/8	1		-5	61	Db4	4	712
43	43	767/4	767/4	0.25	11/16	11/16	9/8	2	1	1/16		1/16	1		-3	51	Eb3	3	725
43	43	192	192	0.25	3/4	3/4	9/8	2	1	1/16		1/16	1		-4	44	Ab2	2	726
43	43	192	192	1.5	3/4	3/4	9/8	1	2	3/8		1/4	3/2		0	60	C4	4	713
43	43	192	192	1.0	3/4	3/4	9/8	1	1	1/4		1/4	1		-3	63	Eb4	4	707
43	43	192	192	1.0	3/4	3/4	9/8	1	1	1/4		1/4	1		-6	66	Gb4	4	707
43	43	769/4	769/4	0.25	13/16	13/16	9/8	2	1	1/16		1/16	1		-3	51	Eb3	3	727
43	43	385/2	385/2	0.25	7/8	7/8	9/8	2	1	1/16		1/16	1		-4	44	Ab2	2	728
43	43	771/4	771/4	0.25	15/16	15/16	9/8	2	1	1/16		1/16	1		-3	51	Eb3	3	729
43	43	193	193	0.25	1	1	9/8	2	1	1/16		1/16	1		-4	44	Ab2	2	730
43	43	193	193	0.5	1	1	9/8	1	1	1/8		1/8	1		-3	63	Eb4	4	708
43	43	193	193	0.5	1	1	9/8	1	1	1/8		1/8	1		-6	66	Gb4	4	708
43	43	193	193	0.5	1	1	9/8	1	1	1/8		1/8	1		-2	70	Bb4	4	708
43	43	773/4	773/4	0.25	17/16	17/16	9/8	2	1	1/16		1/16	1		-3	51	Eb3	3	731
44	44	387/2	387/2	0.25	0	0	9/8	2	1	1/16		1/16	1		-4	44	Ab2	2	740
44	44	387/2	387/2	1.0	0	0	9/8	1	2	1/4		1/4	1		-6	54	Gb3	3	735
44	44	387/2	387/2	3.0	0	0	9/8	1	1	3/4		1/2	3/2		-5	61	Db4	4	732
44	44	387/2	387/2	3.0	0	0	9/8	1	1	3/4		1/2	3/2		-3	63	Eb4	4	732
44	44	775/4	775/4	0.25	1/16	1/16	9/8	2	1	1/16		1/16	1		-3	51	Eb3	3	741
44	44	194	194	0.25	1/8	1/8	9/8	2	1	1/16		1/16	1		-4	44	Ab2	2	742
44	44	777/4	777/4	0.25	3/16	3/16	9/8	2	1	1/16		1/16	1		-3	51	Eb3	3	743
44	44	389/2	389/2	0.25	1/4	1/4	9/8	2	1	1/16		1/16	1		-4	44	Ab2	2	744
44	44	389/2	389/2	0.5	1/4	1/4	9/8	1	2	1/8		1/8	1		-4	56	Ab3	3	736
44	44	779/4	779/4	0.25	5/16	5/16	9/8	2	1	1/16		1/16	1		-3	51	Eb3	3	745
44	44	195	195	0.25	3/8	3/8	9/8	2	1	1/16		1/16	1		-4	44	Ab2	2	746
44	44	195	195	1.0	3/8	3/8	9/8	1	2	1/4		1/4	1		-2	58	Bb3	3	737
44	44	781/4	781/4	0.25	7/16	7/16	9/8	2	1	1/16		1/16	1		-3	51	Eb3	3	747
44	44	391/2	391/2	0.25	1/2	1/2	9/8	2	1	1/16		1/16	1		-4	44	Ab2	2	748
44	44	783/4	783/4	0.25	9/16	9/16	9/8	2	1	1/16		1/16	1		-3	51	Eb3	3	749
44	44	196	196	0.25	5/8	5/8	9/8	2	1	1/16		1/16	1		-4	44	Ab2	2	750
44	44	196	196	0.5	5/8	5/8	9/8	1	2	1/8		1/8	1		-5	61	Db4	4	738
44	44	785/4	785/4	0.25	11/16	11/16	9/8	2	1	1/16		1/16	1		-3	51	Eb3	3	751
44	44	393/2	393/2	0.25	3/4	3/4	9/8	2	1	1/16		1/16	1		-4	44	Ab2	2	752
44	44	393/2	393/2	1.5	3/4	3/4	9/8	1	2	3/8		1/4	3/2		0	60	C4	4	739
44	44	393/2	393/2	1.0	3/4	3/4	9/8	1	1	1/4		1/4	1		-3	63	Eb4	4	733
44	44	393/2	393/2	1.0	3/4	3/4	9/8	1	1	1/4		1/4	1		-6	66	Gb4	4	733
44	44	787/4	787/4	0.25	13/16	13/16	9/8	2	1	1/16		1/16	1		-3	51	Eb3	3	753
44	44	197	197	0.25	7/8	7/8	9/8	2	1	1/16		1/16	1		-4	44	Ab2	2	754
44	44	789/4	789/4	0.25	15/16	15/16	9/8	2	1	1/16		1/16	1		-3	51	Eb3	3	755
44	44	395/2	395/2	0.25	1	1	9/8	2	1	1/16		1/16	1		-4	44	Ab2	2	756
44	44	395/2	395/2	0.5	1	1	9/8	1	1	1/8		1/8	1		-3	63	Eb4	4	734
44	44	395/2	395/2	0.5	1	1	9/8	1	1	1/8		1/8	1	1	-6	66	Gb4	4	734
44	44	395/2	395/2	0.5	1	1	9/8	1	1	1/8		1/8	1	1	-2	70	Bb4	4	734
44	44	791/4	791/4	0.25	17/16	17/16	9/8	2	1	1/16		1/16	1		-3	51	Eb3	3	757
45	45	198	198	0.25	0	0	9/8	2	1	1/16		1/16	1		-4	44	Ab2	2	769
45	45	198	198	0.5	0	0	9/8	1	1	1/8		1/8	1		-5	61	Db4	4	758
45	45	198	198	0.5	0	0	9/8	1	1	1/8		1/8	1	-1	-6	66	Gb4	4	758
45	45	198	198	0.5	0	0	9/8	1	1	1/8		1/8	1	-1	-2	70	Bb4	4	758
45	45	793/4	793/4	0.25	1/16	1/16	9/8	2	1	1/16		1/16	1		-3	39	Eb2	2	770
45	45	397/2	397/2	0.25	1/8	1/8	9/8	2	1	1/16		1/16	1		-4	44	Ab2	2	771
45	45	397/2	397/2	0.5	1/8	1/8	9/8	1	1	1/8		1/8	1		-4	68	Ab4	4	759
45	45	397/2	397/2	0.5	1/8	1/8	9/8	1	1	1/8		1/8	1		0	72	C5	5	759
45	45	397/2	397/2	0.5	1/8	1/8	9/8	1	1	1/8		1/8	1		-1	77	F5	5	759
45	45	795/4	795/4	0.25	3/16	3/16	9/8	2	1	1/16		1/16	1		-3	51	Eb3	3	772
45	45	199	199	0.25	1/4	1/4	9/8	2	1	1/16		1/16	1		-4	44	Ab2	2	773
45	45	199	199	0.5	1/4	1/4	9/8	1	1	1/8		1/8	1		-6	66	Gb4	4	760
45	45	199	199	0.5	1/4	1/4	9/8	1	1	1/8		1/8	1		-2	70	Bb4	4	760
45	45	199	199	0.5	1/4	1/4	9/8	1	1	1/8		1/8	1		-3	75	Eb5	5	760
45	45	797/4	797/4	0.25	5/16	5/16	9/8	2	1	1/16		1/16	1		-3	51	Eb3	3	774
45	45	399/2	399/2	0.25	3/8	3/8	9/8	2	1	1/16		1/16	1		-4	56	Ab3	3	775
45	45	399/2	399/2	0.5	3/8	3/8	9/8	1	2	1/8		1/8	1		-5	61	Db4	4	763
45	45	399/2	399/2	1.5	3/8	3/8	9/8	1	1	3/8		1/4	3/2		-6	66	Gb4	4	761
45	45	399/2	399/2	1.5	3/8	3/8	9/8	1	1	3/8		1/4	3/2		-2	70	Bb4	4	761
45	45	799/4	799/4	0.25	7/16	7/16	9/8	2	1	1/16		1/16	1		-3	51	Eb3	3	776
45	45	200	200	0.25	1/2	1/2	9/8	2	1	1/16		1/16	1		-4	56	Ab3	3	777
45	45	200	200	0.5	1/2	1/2	9/8	1	2	1/8		1/8	1		-2	58	Bb3	3	764
45	45	801/4	801/4	0.25	9/16	9/16	9/8	2	1	1/16		1/16	1		-3	63	Eb4	4	778
45	45	401/2	401/2	0.25	5/8	5/8	9/8	2	1	1/16		1/16	1		-4	56	Ab3	3	779
45	45	401/2	401/2	0.5	5/8	5/8	9/8	1	2	1/8		1/8	1		-5	61	Db4	4	765
45	45	803/4	803/4	0.25	11/16	11/16	9/8	2	1	1/16		1/16	1		-3	51	Eb3	3	780
45	45	201	201	0.25	3/4	3/4	9/8	2	1	1/16		1/16	1		-4	56	Ab3	3	781
45	45	201	201	0.5	3/4	3/4	9/8	1	2	1/8		1/8	1		-2	58	Bb3	3	766
45	45	201	201	1.5	3/4	3/4	9/8	1	1	3/8		1/4	3/2		-6	66	Gb4	4	762
45	45	201	201	1.5	3/4	3/4	9/8	1	1	3/8		1/4	3/2		-4	68	Ab4	4	762
45	45	805/4	805/4	0.25	13/16	13/16	9/8	2	1	1/16		1/16	1		-3	51	Eb3	3	782
45	45	403/2	403/2	0.25	7/8	7/8	9/8	2	1	1/16		1/16	1		-4	44	Ab2	2	783
45	45	403/2	403/2	0.5	7/8	7/8	9/8	1	2	1/8		1/8	1		0	60	C4	4	767
45	45	807/4	807/4	0.25	15/16	15/16	9/8	2	1	1/16		1/16	1		-3	51	Eb3	3	784
45	45	202	202	0.25	1	1	9/8	2	1	1/16		1/16	1		-4	44	Ab2	2	785
45	45	202	202	0.5	1	1	9/8	1	2	1/8		1/8	1		-3	63	Eb4	4	768
45	45	809/4	809/4	0.25	17/16	17/16	9/8	2	1	1/16		1/16	1		-3	39	Eb2	2	786
46	46	405/2	405/2	0.25	0	0	9/8	2	1	1/16		1/16	1		-4	44	Ab2	2	798
46	46	405/2	405/2	0.5	0	0	9/8	1	1	1/8		1/8	1		-5	61	Db4	4	787
46	46	405/2	405/2	0.5	0	0	9/8	1	1	1/8		1/8	1		-6	66	Gb4	4	787
46	46	405/2	405/2	0.5	0	0	9/8	1	1	1/8		1/8	1		-2	70	Bb4	4	787
46	46	811/4	811/4	0.25	1/16	1/16	9/8	2	1	1/16		1/16	1		-3	39	Eb2	2	799
46	46	203	203	0.25	1/8	1/8	9/8	2	1	1/16		1/16	1		-4	44	Ab2	2	800
46	46	203	203	0.5	1/8	1/8	9/8	1	1	1/8		1/8	1		-4	68	Ab4	4	788
46	46	203	203	0.5	1/8	1/8	9/8	1	1	1/8		1/8	1		0	72	C5	5	788
46	46	203	203	0.5	1/8	1/8	9/8	1	1	1/8		1/8	1		-1	77	F5	5	788
46	46	813/4	813/4	0.25	3/16	3/16	9/8	2	1	1/16		1/16	1		-3	51	Eb3	3	801
46	46	407/2	407/2	0.25	1/4	1/4	9/8	2	1	1/16		1/16	1		-4	44	Ab2	2	802
46	46	407/2	407/2	0.5	1/4	1/4	9/8	1	1	1/8		1/8	1		-6	66	Gb4	4	789
46	46	407/2	407/2	0.5	1/4	1/4	9/8	1	1	1/8		1/8	1		-2	70	Bb4	4	789
46	46	407/2	407/2	0.5	1/4	1/4	9/8	1	1	1/8		1/8	1		-3	75	Eb5	5	789
46	46	815/4	815/4	0.25	5/16	5/16	9/8	2	1	1/16		1/16	1		-3	51	Eb3	3	803
46	46	204	204	0.25	3/8	3/8	9/8	2	1	1/16		1/16	1		-4	56	Ab3	3	804
46	46	204	204	0.5	3/8	3/8	9/8	1	2	1/8		1/8	1		-5	61	Db4	4	792
46	46	204	204	1.5	3/8	3/8	9/8	1	1	3/8		1/4	3/2		-6	66	Gb4	4	790
46	46	204	204	1.5	3/8	3/8	9/8	1	1	3/8		1/4	3/2		-2	70	Bb4	4	790
46	46	817/4	817/4	0.25	7/16	7/16	9/8	2	1	1/16		1/16	1		-3	51	Eb3	3	805
46	46	409/2	409/2	0.25	1/2	1/2	9/8	2	1	1/16		1/16	1		-4	56	Ab3	3	806
46	46	409/2	409/2	0.5	1/2	1/2	9/8	1	2	1/8		1/8	1		-2	58	Bb3	3	793
46	46	819/4	819/4	0.25	9/16	9/16	9/8	2	1	1/16		1/16	1		-3	63	Eb4	4	807
46	46	205	205	0.25	5/8	5/8	9/8	2	1	1/16		1/16	1		-4	56	Ab3	3	808
46	46	205	205	0.5	5/8	5/8	9/8	1	2	1/8		1/8	1		-5	61	Db4	4	794
46	46	821/4	821/4	0.25	11/16	11/16	9/8	2	1	1/16		1/16	1		-3	51	Eb3	3	809
46	46	411/2	411/2	0.25	3/4	3/4	9/8	2	1	1/16		1/16	1		-4	56	Ab3	3	810
46	46	411/2	411/2	0.5	3/4	3/4	9/8	1	2	1/8		1/8	1		-2	58	Bb3	3	795
46	46	411/2	411/2	1.5	3/4	3/4	9/8	1	1	3/8		1/4	3/2		-6	66	Gb4	4	791
46	46	411/2	411/2	1.5	3/4	3/4	9/8	1	1	3/8		1/4	3/2		-4	68	Ab4	4	791
46	46	823/4	823/4	0.25	13/16	13/16	9/8	2	1	1/16		1/16	1		-3	51	Eb3	3	811
46	46	206	206	0.25	7/8	7/8	9/8	2	1	1/16		1/16	1		-4	56	Ab3	3	812
46	46	206	206	0.5	7/8	7/8	9/8	1	2	1/8		1/8	1		0	60	C4	4	796
46	46	825/4	825/4	0.25	15/16	15/16	9/8	2	1	1/16		1/16	1		-3	51	Eb3	3	813
46	46	413/2	413/2	0.25	1	1	9/8	2	1	1/16		1/16	1		-4	56	Ab3	3	814
46	46	413/2	413/2	0.5	1	1	9/8	1	2	1/8		1/8	1		-3	63	Eb4	4	797
46	46	827/4	827/4	0.25	17/16	17/16	9/8	2	1	1/16		1/16	1		-3	51	Eb3	3	815
47	47	207	207	1.0	0	0	9/8	2	2	1/4		1/4	1		-6	54	Gb3	3	837
47	47	207	207	3.0	0	0	9/8	2	1	3/4		1/2	3/2		-5	61	Db4	4	836
47	47	207	207	0.25	0	0	9/8	1	2	1/16		1/16	1		-3	75	Eb5	5	819
47	47	207	207	3.0	0	0	9/8	1	1	3/4		1/2	3/2		-3	75	Eb5	5	816
47	47	829/4	829/4	0.25	1/16	1/16	9/8	1	2	1/16		1/16	1		-3	63	Eb4	4	820
47	47	415/2	415/2	0.25	1/8	1/8	9/8	1	2	1/16		1/16	1		-6	66	Gb4	4	821
47	47	831/4	831/4	0.25	3/16	3/16	9/8	1	2	1/16		1/16	1		-2	70	Bb4	4	822
47	47	208	208	0.5	1/4	1/4	9/8	2	2	1/8		1/8	1		-4	56	Ab3	3	838
47	47	208	208	0.25	1/4	1/4	9/8	1	2	1/16		1/16	1		-6	66	Gb4	4	823
